document,field,ground_truth,predicted,confidence,is_reliable,format_ok
0000971160.png,DATE,9/ 3/ 92,__9/3/92,0.793,True,True
0000971160.png,FROM,,the list submitted of,0.893,True,True
0000971160.png,TO,,as ends are stability,0.909,True,True
0000989556.png,APPROVED_BY,"Director of Technical Operations, Brown & Williamson International Tobacco",by: Dicector of Technical,0.803,True,True
0000989556.png,DATE,"May 1, 1985",,0.285,False,False
0000989556.png,FROM,,mouth ene,0.854,True,True
0000989556.png,TO,,"Cigt. we. 978, ng",0.83,True,True
0000990274.png,DATE,"March 27, 1984",NO.: 8} March 25-84,0.421,False,False
0000990274.png,FROM,,Rep BY,0.85,True,True
0000990274.png,TO,,be cent to RED,0.858,True,True
0000999294.png,SUBJECT,KOOL Lights KS vs. Bright KS Product Monitor,,0.285,False,False
0000999294.png,TO,,PRODUCT TEST PROJECT PAGE,0.895,True,True
0001118259.png,DATE,,05/11/95 Formulas,0.881,True,True
0001118259.png,TO,,Leaf Substitutions,0.913,True,True
0001123541.png,DATE,6/ 21/ 93,,0.285,False,False
0001123541.png,TO,,cleaning understand,0.892,True,True
0001129658.png,CC,,sity it othe prohibited,0.744,True,True
0001129658.png,DATE,10/ 13/ 99,,0.285,False,False
0001129658.png,FROM,Kevin Narko,Kevin Narko Fax Number:,0.898,True,True
0001129658.png,TO,,number of pages including,0.912,True,True
0001209043.png,DATE,4/19/74,Sent 4/19/74,0.91,True,True
0001209043.png,SUBJECT,,to of wide small,0.911,True,True
0001209043.png,TO,,Sample 214,0.913,True,True
0001239897.png,SUBJECT,25% Replacement of Propylene Glycol With SORBITOL,,0.285,False,False
0001456787.png,CC,,s/t,0.838,True,True
0001456787.png,TO,,Pramure Drop (unencap.),0.824,True,True
0001463282.png,APPROVED_BY,,"By: BW, LE, Byeney",0.71,True,True
0001463282.png,CC,K. A. Hutchison S. A. Howard,S. Willinger (3) Project,0.848,True,True
0001463282.png,DATE,5/ 3/ 90,_4/16/90 (Recomended Proposal Attached),0.843,True,True
0001463282.png,TO,,al_cost 23.3 Cost ___s84.2__,0.756,True,True
0001463448.png,TO,,THE,0.91,True,True
0001476912.png,TO,,CORPORATION,0.913,True,True
0001477983.png,DATE,,"place, persons and receiving",0.561,True,False
0001477983.png,TO,,"report the Providence, previous",0.81,True,True
